Organization Name,Organization Name URL,Contact Email,Website,Founders,Company Type
Novartis,https://www.crunchbase.com/organization/novartis,eric.althoff@novartis.com,https://www.novartis.com,"Alexander Clavel, Joerg Reinhardt, Johann Rudolf, Shwen Gwee",For Profit
T-Mobile,https://www.crunchbase.com/organization/t-mobile,,https://www.t-mobile.com,"Gaurav Agarwal, John W. Stanton",For Profit
bitsCrunch,https://www.crunchbase.com/organization/bitscrunch,info@bitscrunch.com,https://bitscrunch.com,"Gopi Kannappan, Saravanan Jaichandaran, Vijay Pravin Maharajan",For Profit
Pfizer,https://www.crunchbase.com/organization/pfizer,,http://www.pfizer.com,"Christina Warren, Kyung Ae Lee, Thomas A Wynn",For Profit
UniCredit,https://www.crunchbase.com/organization/unicredit,,https://www.unicreditgroup.eu/en.html,Federico Ghizzoni,For Profit
Societe Generale,https://www.crunchbase.com/organization/societe-generale,,https://www.societegenerale.com,Paulin Talabot,For Profit
Techstars,https://www.crunchbase.com/organization/techstars,info@techstars.com,https://www.techstars.com,"Brad Feld, Chisa Egbelu, Daniel Mason, David Brown, David Cohen, Jared Polis",For Profit
Manta Network,https://www.crunchbase.com/organization/manta-network,,https://manta.network/,"Kenny Li, Shumo Chu, Victor Ji",For Profit
Juniper Networks,https://www.crunchbase.com/organization/juniper-networks,social-media@juniper.net,http://www.juniper.net,Pradeep Sindhu,For Profit
Nextdoor,https://www.crunchbase.com/organization/nextdoor,press@nextdoor.com,http://nextdoor.com,"Adam Ginsburg, David Wiesen, Madison Bell, Nirav Tolia, Prakash Janakiraman, Sarah Leary",For Profit
Quantinuum,https://www.crunchbase.com/organization/honeywell-quantum-solutions,info@quantinuum.com,http://www.quantinuum.com,"Carlos Virella, Ilyas Khan",For Profit
Compass,https://www.crunchbase.com/organization/compassinc,info@compass.com,http://www.compass.com,"Burton Rhodes, Jason Wieloch, Mike Toltzis, Mike Weiss, Ori Allon, Robert Reffkin, Stephanie Mallios, Ugo Di Girolamo",For Profit
JP Morgan Chase,https://www.crunchbase.com/organization/jpmorgan-chase-co,,http://www.jpmorganchase.com,"Arthur Gurley, John Pierpont Morgan, John Thompson",For Profit
Gate.io,https://www.crunchbase.com/organization/gate-io,support@mail.gate.io,https://www.gate.io,Lin Han,For Profit
Amazon,https://www.crunchbase.com/organization/amazon,,https://amazon.com,Jeff Bezos,For Profit
StartEngine,https://www.crunchbase.com/organization/start-engine,contact@startengine.com,http://www.startengine.com,"Howard Marks, Paul Kessler, Ronald Miller",For Profit
Apple,https://www.crunchbase.com/organization/apple,,http://www.apple.com,"Ron Wayne, Steve Jobs, Steve Wozniak",For Profit
Shein,https://www.crunchbase.com/organization/shein-b79e,hr@shein.com,https://www.shein.com,Yangtian Xu,For Profit
Google,https://www.crunchbase.com/organization/google,google@google.com,https://www.google.com,"Larry Page, Sergey Brin",For Profit
Climate Transition Development,https://www.crunchbase.com/organization/climate-transition-development,contact@ctdevelopment.co,https://ctdevelopment.co,"Danny Hayes, Godai Furusawa",For Profit
Rocket Lab,https://www.crunchbase.com/organization/rocket-lab,enquiries@rocketlabusa.com,http://www.rocketlabusa.com,Peter Beck,For Profit
Antler,https://www.crunchbase.com/organization/antler-be9c,hello@antler.co,https://antler.co,"Carlos Virella, Daniel O'Donnell, Devayani Latey, Dilan Mizrakli Landgraff, Fridtjof Berge, Hoang Tran, Jiejing Chen, Jussi Salovaara, Magnus Grimeland, Shannon Bender, Stefan Jung, Sundaresh Mahendra, Vegard Medbo, Vince Dillon",For Profit
Meta,https://www.crunchbase.com/organization/facebook,,https://meta.com,"Andrew McCollum, Chris Hughes, Dustin Moskovitz, Eduardo Saverin, Mark Zuckerberg",For Profit
Verizon,https://www.crunchbase.com/organization/verizon-communications,,https://www.verizon.com,,For Profit
Deliveroo,https://www.crunchbase.com/organization/deliveroo,support@deliveroo.co.uk,https://deliveroo.co.uk,"Greg Orlowski, William Shu",For Profit
Chainlink,https://www.crunchbase.com/organization/chainlink,support@chain.link,https://chain.link,,For Profit
Nasdaq,https://www.crunchbase.com/organization/nasdaq,boardvantage.support@nasdaq.com,https://www.nasdaq.com,Gordon Macklin,For Profit
Silverfort,https://www.crunchbase.com/organization/silverfort-2,info@silverfort.com,https://www.silverfort.com,"Hed Kovetz, Matan Fattal, Yaron Kassner",For Profit
Bitcoin,https://www.crunchbase.com/organization/bitcoin-llc,,https://www.bitcoin.com,"Mate Tokay, Roger Ver",For Profit
TravelPerk,https://www.crunchbase.com/organization/travelperk,info@travelperk.com,http://www.travelperk.com,"Avi Meir, Javier Suarez, Ron Levin",For Profit
Robin AI,https://www.crunchbase.com/organization/robin-ai,contact@robinai.co.uk,https://robinai.co.uk,"James Clough, Richard Robinson",For Profit
Fidelity,https://www.crunchbase.com/organization/fidelity-investments,Johrenk7@gmail.com,https://www.fidelity.com,"Edward C. Johnson II, Kevin Little",For Profit
Box,https://www.crunchbase.com/organization/box,sales@box.com,http://www.box.com,"Aaron Levie, Dylan Smith, Jeff Queisser, Karen (Appleton ) Page, Sam Ghods",For Profit
H.I.G. Capital,https://www.crunchbase.com/organization/hig-capital,info@higcapital.com,https://hig.com,"Sami Mnaymneh, Tony Tamer",For Profit
Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,info@startupwiseguys.com,https://startupwiseguys.com/,"Christian Testman, Cristobal Alonso, Herty Tammo, Jon Bradford, Mike Reiner",For Profit
SentinelOne,https://www.crunchbase.com/organization/sentinel,sales@sentinelone.com,http://www.sentinelone.com,"Almog Cohen, Ehud Shamir, Tomer Weingarten",For Profit
badshahbook.club,https://www.crunchbase.com/organization/datasnipper,,https://badshahbook.club/diamond-exchange-9,"Jonas Ruyter, Kai Bakker, Maarten Alblas",For Profit
Ares Management,https://www.crunchbase.com/organization/ares-management,IRARES@aresmgmt.com,http://www.aresmgmt.com,"Bennett Rosenthal, David Kaplan",For Profit
Starbucks,https://www.crunchbase.com/organization/starbucks,info@starbucks.com,https://www.starbucks.com,"Gordon Bowker, Jerry Baldwin, Zev Siegl",For Profit
Generate Capital,https://www.crunchbase.com/organization/generate-capital,info@generatecapital.com,https://generatecapital.com,"Jigar Shah, Matan Friedman, Scott Jacobs",For Profit
HP,https://www.crunchbase.com/organization/hewlett-packard,,http://www.hp.com,"Bill Hewlett, David Packard",For Profit
H2 Green Steel,https://www.crunchbase.com/organization/h2-green-steel,info@h2greensteel.com,https://www.h2greensteel.com,"Carl-Erik Lagercrantz, Harald Mix",For Profit
Siemens,https://www.crunchbase.com/organization/siemens,contact@siemens.com,https://www.siemens.com,"Johann Halske, Werner Siemens",For Profit
Sierra Space,https://www.crunchbase.com/organization/sierra-space,marcomms@sierraspace.com,https://sierraspace.com,"Eren Ozmen, Fatih Ozmen",For Profit
IndieBio,https://www.crunchbase.com/organization/synbio-axlr8r,parikshit.sharma@sosv.com,http://www.indiebio.co,"Arvind Gupta, Bill Liao",For Profit
BitGo,https://www.crunchbase.com/organization/bitgo,support@bitgo.com,http://www.bitgo.com,"Ben Davenport, Carlos Virella, Mike Belshe, Will O'Brien",For Profit
Inflection Point Ventures,https://www.crunchbase.com/organization/inflection-point-ventures-d275,info@ipventures.in,https://ipventures.in/,"Ankur Mittal, Dipanjan Basu, K S Adarsh Dikshith, Mitesh Shah, Sathya Pramod, Sumeet Kapur, Vinay Bansal, Vinod Bansal",For Profit
Innovation Works,https://www.crunchbase.com/organization/innovation-works,info@innovationworks.org,http://www.innovationworks.org,Lisa Greenleaf,For Profit
Nokia,https://www.crunchbase.com/organization/nokia,press.services@nokia.com,http://www.nokia.com,"Ankur Bhan, Frederic Idestam, Juhani Korhonen, Leo Mechelin, Stevie Case",For Profit
Axis Bank,https://www.crunchbase.com/organization/axis-bank,pkfdjd5h@gmail.com,http://www.axisbank.com,Manoj Agrawal,For Profit
OpenAI,https://www.crunchbase.com/organization/openai,press@openai.com,https://www.openai.com,"Elon Musk, Greg Brockman, Ilya Sutskever, John Schulman, Sam Altman, Wojciech Zaremba",For Profit
Chronosphere,https://www.crunchbase.com/organization/chronosphere,contact@chronosphere.io,http://www.chronosphere.io,"Martin Mao, Rob Skillington",For Profit
HATCHER+,https://www.crunchbase.com/organization/hatcher,info@hatcher.com,https://hq.hatcher.com,"Dan Hoogterp, John Sharp, Wissam Otaky",For Profit
Krutrim,https://www.crunchbase.com/organization/krutrim-si-designs,,https://olakrutrim.com,Bhavish Aggarwal,For Profit
SK Finance,https://www.crunchbase.com/organization/ess-kay-fincorp,info@skfin.in,https://www.skfin.in/,Rajendra K Setia,For Profit
Cohere Health,https://www.crunchbase.com/organization/cohere-health,hello@coherehealth.com,https://coherehealth.com,"Duncan Reece, Siva Namasivayam",For Profit
Microsoft,https://www.crunchbase.com/organization/microsoft,mdcc@microsoft.com,https://www.microsoft.com,"Bill Gates, Paul Allen",For Profit
Recurrent Energy,https://www.crunchbase.com/organization/recurrent-energy,info@recurrentenergy.com,http://www.recurrentenergy.com,"Arno Harris, Don Hutchison, Matt Garlinghouse",For Profit
Forta,https://www.crunchbase.com/organization/fortahealth,care@fortahealth.com,https://www.fortahealth.com,"Jonathan Roberts, Ritankar Das",For Profit
Alto Neuroscience,https://www.crunchbase.com/organization/alto-neuroscience,info@altoneuroscience.com,https://www.altoneuroscience.com,"Amit Etkin, Dan Segal, Wei Wu",For Profit
NinjaOne,https://www.crunchbase.com/organization/ninjaone,sales@ninjaone.com,https://www.ninjaone.com,"Christopher Matarese, Eric Herrera, Sal Sferlazza",For Profit
Farfetch,https://www.crunchbase.com/organization/farfetch,customerservice@farfetch.com,https://www.farfetch.com,José Neves,For Profit
BAE Systems,https://www.crunchbase.com/organization/bae-systems,amanda.desourdis@baesystems.com,http://www.baesystems.com,,For Profit
Waymo,https://www.crunchbase.com/organization/waymo,selfdrivingcarteam@google.com,http://www.waymo.com,"Anthony Levandowski, Sebastian Thrun",For Profit
Peloton,https://www.crunchbase.com/organization/peloton-interactive,press@onepeloton.com,http://www.onepeloton.com,"Graham Stanton, Hisao Kushi, John Foley, Tom Cortese, Yony Feng",For Profit
American Water,https://www.crunchbase.com/organization/american-water-works,,http://amwater.com,"James Kuhn, W.S Kuhn",For Profit
Wayfair,https://www.crunchbase.com/organization/wayfair,service@wayfair.com,https://www.wayfair.com,"Niraj Shah, Steve Conine",For Profit
Quora,https://www.crunchbase.com/organization/quora,,http://quora.com,"Adam D’Angelo, Charlie Cheever",For Profit
Cloudflare,https://www.crunchbase.com/organization/cloudflare,info@cloudflare.com,http://www.cloudflare.com,"Lee Holloway, Matthew Prince, Michelle Zatlyn",For Profit
Minute Media,https://www.crunchbase.com/organization/90min,general.inquiries@minutemedia.com,http://www.minutemedia.com,"Asaf Peled, Carlos Virella, Gilad Beiman, Yuval Larom",For Profit
SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,media@spacex.com,https://www.spacex.com,Elon Musk,For Profit
NIO,https://www.crunchbase.com/organization/nextev,press@nio.io,https://www.nio.com,"Jack Cheng, Lihong Qin, William Li",For Profit
Valsoft,https://www.crunchbase.com/organization/valsoft-corporation,info@valsoftcorp.com,http://www.valsoftcorp.com,"Ouissam Youssef, Stephane Manos",For Profit
Amgen,https://www.crunchbase.com/organization/amgen,amgenmediarelations@amgen.com,http://www.amgen.com,George Rathmann,For Profit
Cart.com,https://www.crunchbase.com/organization/cart-com,hello@cart.com,https://www.cart.com,"Ed Sturrock, Jim Jacobsen, Omair Tariq, Remington Tonar",For Profit
Pipefy,https://www.crunchbase.com/organization/pipefy,communication@pipefy.com,http://www.pipefy.com,"Alessio Alionco, Kelvin Stinghen, Leandro Johann, Magnus Arantes",For Profit
Jupiter,https://www.crunchbase.com/organization/amica-financial-technologies,,https://www.jupiter.money,Jitendra Gupta,For Profit
Ambience Healthcare,https://www.crunchbase.com/organization/ambience-healthcare,,https://ambiencehealthcare.com/,Nikhil Buduma,For Profit
Mistral AI,https://www.crunchbase.com/organization/mistral-ai,contact@mistral.ai,https://mistral.ai,"Arthur Mensch, Guillaume Lample, Timothee Lacroix",For Profit
ANSYS,https://www.crunchbase.com/organization/ansys,ansysinfo@ansys.com,http://www.ansys.com,John Swanson,For Profit
ResMed,https://www.crunchbase.com/organization/resmed,investorrelations@resmed.com,http://www.resmed.com,"Maria Artunduaga, Peter Farrell",For Profit
Tesla,https://www.crunchbase.com/organization/tesla-motors,reservations@teslamotors.com,https://www.tesla.com,"Elon Musk, JB Straubel, Marc Tarpenning, Martin Eberhard",For Profit
Reliance Industries,https://www.crunchbase.com/organization/reliance-industries,info@ril.com,https://www.ril.com,Dhirubhai Ambani,For Profit
Roche,https://www.crunchbase.com/organization/roche,,http://www.roche.com,Fritz Hoffman-La Roche,For Profit
Intuit,https://www.crunchbase.com/organization/intuit,,http://www.intuit.com,"Scott Cook, Tom Proulx",For Profit
Palantir Technologies,https://www.crunchbase.com/organization/palantir-technologies,info@palantir.com,http://www.palantir.com,"Alexander Karp, Joe Lonsdale, Nathan Gettings, Peter Thiel, Stephen Cohen",For Profit
AstraZeneca,https://www.crunchbase.com/organization/astrazeneca,,http://www.astrazeneca.com,,For Profit
Torq,https://www.crunchbase.com/organization/stackpulse,,https://torq.io,"Eldad Livni, Leonid Belkind, Ofer Smadari",For Profit
Texas Instruments,https://www.crunchbase.com/organization/texas-instruments,,http://www.ti.com,"Cecil Howard Green, Eugene McDermott, J. Erik Jonsson, Patrick E. Haggerty",For Profit
Elemental Excelerator,https://www.crunchbase.com/organization/elemental-excelerator,hello@elementalexcelerator.com,http://elementalexcelerator.com,"Dawn Lippert, Jill Sims",
BT,https://www.crunchbase.com/organization/bt,ir@bt.com,https://www.bt.com,William Fothergill Cooke,For Profit
Fisker,https://www.crunchbase.com/organization/fisker,,https://www.fiskerinc.com,"Geeta Gupta-Fisker, Henrik Fisker",For Profit
Inflection AI,https://www.crunchbase.com/organization/inflection-ai,,https://inflection.ai,"Karen Simonyan, Mustafa Suleyman, Reid Hoffman",For Profit
Silver Lake,https://www.crunchbase.com/organization/silver-lake,mediainquiry@silverlake.com,http://www.silverlake.com,"David Roux, Glenn Hutchins, Jim Davidson, Roger McNamee",For Profit
1X,https://www.crunchbase.com/organization/halodi-robotics,contact@1x.tech,https://www.1x.tech,"Bernt Øivind Børnich, Phuong Nguyen",For Profit
Imperial Dade,https://www.crunchbase.com/organization/imperial-dade,,https://www.imperialdade.com,,For Profit
Alibaba Group,https://www.crunchbase.com/organization/alibaba,,http://alibabagroup.com,"Cathy Zhang, Changwei Ma, Eddie Wu, Jack Ma, James Sheng, Jane Jiang, Jianhang Jin, Joseph Tsai, Lucy Peng, Min Han, Simon Xie, Tony Yiu, Toto Sun, Trudy Dai, Wensheng Lou, Yuanying Jin, Yuehong Zhou, Yufeng Shi",For Profit
Cowbell Cyber,https://www.crunchbase.com/organization/cowbell-cyber-inc,hello@cowbellcyber.ai,https://cowbell.insure,"Jack Kudale, Prab Reddy, Rajeev Gupta, Trent Cooksley",For Profit
Vestiaire Collective,https://www.crunchbase.com/organization/vestiairedecopines,contactpro@vestiairecollective.com,http://vestiairecollective.com,"Alexandre Cognard, Christian Jorge, Fanny Moizant, Henrique Fernandes, Sebastien Fabre, Sophie Hersan",For Profit
Blackberry,https://www.crunchbase.com/organization/blackberry,help@rim.com,https://www.blackberry.com,"Douglas Fregin, Mike Lazaridis",For Profit
DocuSign,https://www.crunchbase.com/organization/docusign,info@docusign.com,http://www.docusign.com,Tom Gonser,For Profit
Vertice,https://www.crunchbase.com/organization/vertice-9c2f,info@vertice.one,https://www.vertice.one,"Eldar Tuvey, Roy Tuvey",For Profit
Boston Scientific,https://www.crunchbase.com/organization/boston-scientific,info@bostonscientific.com,http://www.bostonscientific.com,"John Abele, Pete M. Nicholas",For Profit
Everphone,https://www.crunchbase.com/organization/everphone,info@everphone.de,https://www.everphone.com,"Jan Dzulko, Nadine Kolbe",For Profit
Luma AI,https://www.crunchbase.com/organization/luma-ai,,https://lumalabs.ai,"Alberto Taiuti, Alex Yu, Amit Jain",For Profit
23andMe,https://www.crunchbase.com/organization/23andme,help@23andme.com,http://23andme.com,"Anne Wojcicki, Linda Avey, Paul Cusenza",For Profit
Blue Origin,https://www.crunchbase.com/organization/blue-origin,jobs@blueorigin.com,http://www.blueorigin.com,Jeff Bezos,For Profit
Plex,https://www.crunchbase.com/organization/plex,contact@plexapp.com,https://www.plex.tv,"Cayce Ullman, Elan Feingold, Scott Olechowski",For Profit
Zscaler,https://www.crunchbase.com/organization/zscaler,info@zscaler.com,https://www.zscaler.com,"Jay Chaudhry, Kailash Kailash",For Profit
The EVERY Company,https://www.crunchbase.com/organization/clara-foods,info@clarafoods.com,https://theeverycompany.com,"Arturo Elizondo, David Anchel",For Profit
Merck,https://www.crunchbase.com/organization/merck-co-inc,,http://www.merck.com,George W. Merck,For Profit
Telefonica,https://www.crunchbase.com/organization/telefonica,prensa@telefonica.es,https://www.telefonica.com/,"Glyn Povah, Josep M. Monti, Luis Angel Galindo",For Profit
Typeface,https://www.crunchbase.com/organization/typeface,info@typeface.ai,https://www.typeface.ai,Abhay Parasnis,For Profit
Eurazeo,https://www.crunchbase.com/organization/eurazeo-com,accueil@eurazeo.com,https://www.eurazeo.com,Paul Taylor,For Profit
SandboxAQ,https://www.crunchbase.com/organization/sandboxaq,,https://www.sandboxaq.com,,For Profit
Baller Mixed Reality,https://www.crunchbase.com/organization/baller-mixed-reality,Info@BallerMR.com,https://www.stronginteractive.io/baller,Jonathan Herman,For Profit
Innovaccer,https://www.crunchbase.com/organization/innovaccer,info@innovaccer.com,https://www.innovaccer.com,"Abhinav Shashank, Kanav Hasija, Sandeep K Gupta",For Profit
AST SpaceMobile,https://www.crunchbase.com/organization/ast-spacemobile,press@ast-science.com,https://ast-science.com,Abel Avellan,For Profit
Deutsche Bank,https://www.crunchbase.com/organization/deutsche-bank,deutsche.bank@db.com,https://www.db.com,"Adelbert Delbruck, Gustav Kutter, Gustav Muller, Heinrich von Hardt, Ludwig Bamberger, Victor Freiherr von Magnus",For Profit
Octane,https://www.crunchbase.com/organization/octane-lending,ir@octane.co,http://octane.co,"Andre Gregori, Jason Guss, Mark Davidson, Mark Garro, Michael Fanfant",For Profit
Saudi Arabia's Public Investment Fund,https://www.crunchbase.com/organization/saudi-arabia-public-investment-fund,,https://www.pif.gov.sa,Faisal bin Abdulaziz Al Saud,For Profit
Bloomreach,https://www.crunchbase.com/organization/bloomreach,info@bloomreach.com,http://www.bloomreach.com,"Ashutosh Garg, Raj De Datta, Tjeerd Brenninkmeijer",For Profit
NumGenius Ai,https://www.crunchbase.com/organization/numgenius-ai,info@numgenius-ai.com,https://numgenius-ai.vsisk.com/,Baptiste Poirot,For Profit
Onfido,https://www.crunchbase.com/organization/onfido,,http://www.onfido.com,"Carlos Virella, Eamon Jubbawy, Husayn Kassai, Ruhul Amin",For Profit
Wormhole,https://www.crunchbase.com/organization/wormhole-f145,,https://wormhole.com/,,For Profit
Duolingo,https://www.crunchbase.com/organization/duolingo,press@duolingo.com,https://www.duolingo.com,"Luis von Ahn, Severin Hacker",For Profit
Sovos,https://www.crunchbase.com/organization/sovos-compliance,info@sovos.com,https://sovos.com/,,For Profit
Pennylane,https://www.crunchbase.com/organization/pennylane,data@pennylane.tech,https://www.pennylane.com,"Alexandre Roquoplo, Arthur Waller, Félix Blossier, Quentin de Metz, Tancrède Besnard, Thierry Deo",For Profit
Trinity Capital,https://www.crunchbase.com/organization/trinity-capital-investment,,https://trinitycap.com,Steve Brown,For Profit
Character.ai,https://www.crunchbase.com/organization/character-ai,,https://beta.character.ai,"Daniel De Freitas, Noam Shazeer",For Profit
Owner,https://www.crunchbase.com/organization/placepull,support@owner.com,https://owner.com,"Adam Guild, Dean Bloembergen",For Profit
Sygnum,https://www.crunchbase.com/organization/sygnum,info@sygnum.com,https://www.sygnum.com,"Gerald Goh, Karen Seah, Luka Muller, Mathias Imbach",For Profit
Northrop Grumman,https://www.crunchbase.com/organization/northrop-grumman,,http://www.northropgrumman.com,"Jack Northrop, Leroy Grumman",For Profit
Gilead Sciences,https://www.crunchbase.com/organization/gilead-sciences,public_affairs@gilead.com,http://www.gilead.com,Michael L. Riordan,For Profit
10X Banking,https://www.crunchbase.com/organization/10xbanking,Info@10xbanking.com,https://www.10xbanking.com,"Antony Jenkins, Brad Goodall",For Profit
Aqua Security,https://www.crunchbase.com/organization/aquasecurity,contact@aquasec.com,https://www.aquasec.com,"Amir Jerbi, Dror Davidoff",For Profit
GitLab,https://www.crunchbase.com/organization/gitlab-com,sales@gitlab.com,http://about.gitlab.com,"Dmitriy Zaporozhets, Sam Chen, Sytse Sijbrandij",For Profit
EIT InnoEnergy,https://www.crunchbase.com/organization/kic-innoenergy,ferran.tomas@innoenergy.com,http://www.innoenergy.com/,"Diego Pavía, Elena Bou",For Profit
BillingPlatform,https://www.crunchbase.com/organization/billing-platform,contact@billingplatform.com,http://www.billingplatform.com,"Leonid Solomonik, Nathan Shinn",For Profit
Vodafone,https://www.crunchbase.com/organization/vodafone,info@vodafone.com,http://vodafone.com,"Ernest Harrison, Gerry Whent",For Profit
Oura,https://www.crunchbase.com/organization/Ōura,info@ouraring.com,http://ouraring.com,"Markku Koskela, Petteri Lahtela",For Profit
Bank of America,https://www.crunchbase.com/organization/bank-of-america,,https://www.bankofamerica.com,Amadeo Giannini,For Profit
Substack,https://www.crunchbase.com/organization/substack,hello@substack.com,https://www.substack.com,"Christopher Best, Hamish McKenzie, Jairaj Sethi",For Profit
Aiolos Bio,https://www.crunchbase.com/organization/aiolos-bio,,https://www.aiolosbio.com,Khurem Farooq,
National Institutes of Health,https://www.crunchbase.com/organization/national-institutes-of-health,NIHinfo@od.nih.gov,http://www.nih.gov,Joseph J. Kinyoun,Non-profit
Fractyl Health,https://www.crunchbase.com/organization/fractyl-laboratories,info@fractyl.com,http://www.fractyl.com,"Harith Rajagopalan, Jay Caplan",For Profit
Newme,https://www.crunchbase.com/organization/newme-6a11,fam@newme.asia,https://newme.asia,"Carlos Virella, Shivam Tripathi, Sumit Jasoria, Vinod Naik",For Profit
Alchemist Accelerator,https://www.crunchbase.com/organization/alchemist-accelerator,admissions@alchemistaccelerator.com,http://www.alchemistaccelerator.com,"Haamid Ali, Ravi Belani",For Profit
Lenovo,https://www.crunchbase.com/organization/lenovo,,http://www.lenovo.com,Chuanzhi Liu,For Profit
Plug Power,https://www.crunchbase.com/organization/plug-power,gendrive@plugpower.com,https://www.plugpower.com,George McNamee,For Profit
AiCure,https://www.crunchbase.com/organization/ai-cure,info@aicure.com,http://www.aicure.com,"Adam Hanina, Laura Shafner",For Profit
Bluepoint Partners,https://www.crunchbase.com/organization/bluepoint-partners-2,contact@bluepoint.vc,https://bluepoint.ac,KiHyun Hong,For Profit
Lockheed Martin,https://www.crunchbase.com/organization/lockheed-martin,community.relations@lmco.com,http://www.lockheedmartin.com,"Allan Lockheed, Malcolm Lockheed",For Profit
Alteryx,https://www.crunchbase.com/organization/alteryx,info@alteryx.com,https://alteryx.com,"Dean Stoecker, Ned Harding, Olivia Duane Adams",For Profit
General Motors,https://www.crunchbase.com/organization/general-motors,,https://www.gm.com,"Charles Stewart Mott, Frederic L. Smith, William C. Durant",For Profit
Capital One,https://www.crunchbase.com/organization/capital-one,,http://www.capitalone.com,"George Overholser, Matt Cooper, Nigel Morris, Phil Kim, Richard D. Fairbank",For Profit
Briq,https://www.crunchbase.com/organization/brickschain,people@briq.com,http://briq.com/,"Bassem Hamdy, Ron Goldshmidt",For Profit
Starship Technologies,https://www.crunchbase.com/organization/starship-technologies,info@starship.xyz,https://www.starship.xyz,"Ahti Heinla, Janus Friis",For Profit
Hashed,https://www.crunchbase.com/organization/hashed-f96b,contact@hashed.com,https://www.hashed.com,"Alex Shin, Hwisang Kim, Jinwoo Park, Kyuntae Ethan Kim, Ryan Kim, Seojoon Kim",For Profit
Vinfast,https://www.crunchbase.com/organization/vinfast,support.vn@vinfastauto.com,http://vinfast.vn,Pham Nhat Vuong,For Profit
DraftKings,https://www.crunchbase.com/organization/draftkings,jrobins@draftkings.com,http://www.draftkings.com,"Jason Robins, Matt Kalish",For Profit
Boston Metal,https://www.crunchbase.com/organization/boston-metal,contato@bostonmetal.com,https://bostonmetal.com,"Antoine Allanore, Donald Sadoway, Jim Yurko",For Profit
Rapid7,https://www.crunchbase.com/organization/rapid7,info@rapid7.com,https://www.rapid7.com,"Chad Loder, Tas Giakouminakis, Tim Haynie",For Profit
